"Step","vital-cosmos-120 - trial_state/config.vdw_a","vital-cosmos-120 - trial_state/config.vdw_a__MIN","vital-cosmos-120 - trial_state/config.vdw_a__MAX"
"38","766344.396956265","766344.396956265","766344.396956265"
"39","760555.4886162281","760555.4886162281","760555.4886162281"
"40","736081.1749473214","736081.1749473214","736081.1749473214"
"41","702718.167193234","702718.167193234","702718.167193234"
"42","633129.6944990754","633129.6944990754","633129.6944990754"
"43","762067.6607311971","762067.6607311971","762067.6607311971"
"44","703733.0851367873","703733.0851367873","703733.0851367873"
"45","728647.761233151","728647.761233151","728647.761233151"
"46","750135.912746191","750135.912746191","750135.912746191"
"47","677897.8504240513","677897.8504240513","677897.8504240513"
"48","765434.9440708756","765434.9440708756","765434.9440708756"
"49","631084.1986909509","631084.1986909509","631084.1986909509"
"50","773778.9550796151","773778.9550796151","773778.9550796151"
"51","790021.6029956937","790021.6029956937","790021.6029956937"
"52","703371.2858334184","703371.2858334184","703371.2858334184"
"53","636709.9387547786","636709.9387547786","636709.9387547786"
"54","664120.8915331141","664120.8915331141","664120.8915331141"
"55","746020.9608078003","746020.9608078003","746020.9608078003"
"56","608288.7606695294","608288.7606695294","608288.7606695294"
"57","687770.4689279199","687770.4689279199","687770.4689279199"
"58","727738.3798733354","727738.3798733354","727738.3798733354"
"59","605622.3394349217","605622.3394349217","605622.3394349217"
"60","662998.5691979527","662998.5691979527","662998.5691979527"
"61","604358.2031917297","604358.2031917297","604358.2031917297"
"62","609181.3016938","609181.3016938","609181.3016938"
"63","652583.1073522568","652583.1073522568","652583.1073522568"
"64","691274.6520851546","691274.6520851546","691274.6520851546"
"65","732046.7920973897","732046.7920973897","732046.7920973897"
"66","661621.730029583","661621.730029583","661621.730029583"
"67","644954.7044932842","644954.7044932842","644954.7044932842"
"68","639888.3074522018","639888.3074522018","639888.3074522018"
"69","603668.1981779605","603668.1981779605","603668.1981779605"
"70","675705.0845106421","675705.0845106421","675705.0845106421"
"71","652298.9333744892","652298.9333744892","652298.9333744892"
"72","707809.1660514474","707809.1660514474","707809.1660514474"
"73","748493.414710219","748493.414710219","748493.414710219"
"74","775657.5420498848","775657.5420498848","775657.5420498848"
"75","798889.503069222","798889.503069222","798889.503069222"
"76","686022.3166644573","686022.3166644573","686022.3166644573"
"77","724542.5984379523","724542.5984379523","724542.5984379523"
"78","673163.9831605275","673163.9831605275","673163.9831605275"
"79","640736.7028295994","640736.7028295994","640736.7028295994"
"80","619876.8422007561","619876.8422007561","619876.8422007561"
"81","743381.2673809006","743381.2673809006","743381.2673809006"
"82","755173.8577183508","755173.8577183508","755173.8577183508"
"83","693318.5936883092","693318.5936883092","693318.5936883092"
"84","718030.0486478596","718030.0486478596","718030.0486478596"
"85","759579.5185009287","759579.5185009287","759579.5185009287"
"86","680066.8874229442","680066.8874229442","680066.8874229442"
"87","742633.0326179288","742633.0326179288","742633.0326179288"
"88","717797.7954380031","717797.7954380031","717797.7954380031"
"89","792782.4442942173","792782.4442942173","792782.4442942173"
"90","721799.1724377214","721799.1724377214","721799.1724377214"
"91","702399.0708898267","702399.0708898267","702399.0708898267"
"92","633014.945442742","633014.945442742","633014.945442742"
"93","771943.7521010333","771943.7521010333","771943.7521010333"
"94","713215.5733898837","713215.5733898837","713215.5733898837"
"95","696143.7248597695","696143.7248597695","696143.7248597695"
"96","656216.0469810113","656216.0469810113","656216.0469810113"
"97","608295.1169184147","608295.1169184147","608295.1169184147"
"98","631238.0274650384","631238.0274650384","631238.0274650384"
"99","660513.397395958","660513.397395958","660513.397395958"
"100","785069.7613247455","785069.7613247455","785069.7613247455"
"101","736810.079403667","736810.079403667","736810.079403667"
"102","686360.3804831159","686360.3804831159","686360.3804831159"
"103","755036.3171737583","755036.3171737583","755036.3171737583"
"104","745987.3293998071","745987.3293998071","745987.3293998071"
"105","743256.139191953","743256.139191953","743256.139191953"
"106","693739.09366799","693739.09366799","693739.09366799"
"107","701125.8950541737","701125.8950541737","701125.8950541737"
"108","626064.3843876437","626064.3843876437","626064.3843876437"
"109","773069.6991390091","773069.6991390091","773069.6991390091"
"110","789703.6397858779","789703.6397858779","789703.6397858779"
"111","776932.7877449259","776932.7877449259","776932.7877449259"
"112","638628.9327501431","638628.9327501431","638628.9327501431"
"113","698457.149116627","698457.149116627","698457.149116627"
